USER_ID,USERNAME,FIRST_NAME,LAST_NAME,EMAIL,P_RANK,SALARY,TAXCODE,DIRECTOR_FLAG,HR_STAFF_FLAG,HR_MANAGER_FLAG,DEPART_MEMBER_FLAG,DEPART_MANAGER_FLAG,PROJECT_MEMBER_FLAG,PROJECT_MANAGER_FLAG
DIR01,thang_iss,Thang,,,MANAGER,,19741913,1,0,0,0,0,0,0
HRM01,loan_iss,Loan,,,MANAGER,,13142452,0,1,1,0,0,0,0
FDM01,hai_iss,Hai,,,MANAGER,,14256636,0,0,0,1,1,0,0
TDM02,nhan_iss,Nhan,,,MANAGER,,14235472,0,0,0,1,1,0,0
HR001,hung_iss,Hung,,,STAFF,,14242556,0,1,0,0,0,1,0
HR002,my_iss,My,,,STAFF,,13357954,0,1,0,0,0,1,0
FD001,thuy_iss,Thuy,,,STAFF,,18595743,0,0,0,1,0,1,0
FD002,tung_iss,Tung,,,INTERN,,16427846,0,0,0,1,0,0,0
FD003,son_iss,Son,,,STAFF,,14436789,0,0,0,1,0,1,0
TD001,dat_iss,Dat,,,STAFF,,14689006,0,0,0,1,0,1,0
TD002,dung_iss,Dung,,,STAFF,,14569979,0,0,0,1,0,1,1
TD003,ngan_iss,Ngan,,,STAFF,,16494733,0,0,0,1,0,1,0
TD004,huyen_iss,Huyen,,,STAFF,,12456788,0,0,0,1,0,1,1
TD005,viet_iss,Viet,,,INTERN,,18454678,0,0,0,1,0,1,0
